id,soc_broad_id,occ_code,title,description
747,397,53-2021,Air Traffic Controllers,"Control air traffic on and within vicinity of airport, and movement of air
traffic between altitude sectors and control centers, according to
established procedures and policies. Authorize, regulate, and control
commercial airline flights according to government or company regulations
to expedite and ensure flight safety."
748,397,53-2022,Airfield Operations Specialists,"Ensure the safe takeoff and landing of commercial and military aircraft.
Duties include coordination between air-traffic control and maintenance
personnel, dispatching, using airfield landing and navigational aids,
implementing airfield safety procedures, monitoring and maintaining flight
records, and applying knowledge of weather information."
749,398,53-2031,Flight Attendants,"Monitor safety of the aircraft cabin. Provide services to airline
passengers, explain safety information, serve food and beverages, and
respond to emergency incidents."
750,399,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians","Drive ambulance or assist ambulance driver in transporting sick, injured,
or convalescent persons. Assist in lifting patients."
751,400,53-3031,Driver/Sales Workers,"Drive truck or other vehicle over established routes or within an
established territory and sell or deliver goods, such as food products,
including restaurant take-out items, or pick up or deliver items such as
commercial laundry. May also take orders, collect payment, or stock
merchandise at point of delivery. Excludes ""Coin, Vending, and Amusement
Machine Servicers and Repairers"" (49-9091) and ""Light Truck Drivers""
(53-3033)."
752,400,53-3032,Heavy and Tractor-Trailer Truck Drivers,"Drive a tractor-trailer combination or a truck with a capacity of at least
26,001 pounds Gross Vehicle Weight (GVW). May be required to unload truck.
Requires commercial drivers' license. Includes tow truck drivers. Excludes
""Refuse and Recyclable Material Collectors"" (53-7081)."
753,400,53-3033,Light Truck Drivers,"Drive a light vehicle, such as a truck or van, with a capacity of less than
26,001 pounds Gross Vehicle Weight (GVW), primarily to pick up merchandise
or packages from a distribution center and deliver. May load and unload
vehicle. Excludes ""Couriers and Messengers"" (43-5021) and ""Driver/Sales
Workers"" (53-3031)."
754,401,53-3052,"Bus Drivers, Transit and Intercity","Drive bus or motor coach, including regular route operations, charters, and
private carriage. May assist passengers with baggage. May collect fares or
tickets."
755,401,53-3058,"Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity","This occupation includes the 2018 SOC occupations 53-3051 Bus Drivers,
School; 53-3053 Shuttle Drivers and Chauffeurs; and 53-3054 Taxi Drivers;
and the 2010 SOC occupations 53-3022 Bus Drivers, School or Special Client;
and 53-3041 Taxi Drivers and Chauffeurs."
756,402,53-3099,"Motor Vehicle Operators, All Other",All motor vehicle operators not listed separately.
757,403,53-4011,Locomotive Engineers,"Drive electric, diesel-electric, steam, or gas-turbine-electric locomotives
to transport passengers or freight. Interpret train orders, electronic or
manual signals, and railroad rules and regulations. Excludes ""Engineers""
(17-2011 through 17-2199)."
758,403,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers","Drive switching or other locomotive or dinkey engines within railroad yard,
industrial plant, quarry, construction project, or similar location."
759,404,53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers","Operate or monitor railroad track switches or locomotive instruments. May
couple or uncouple rolling stock to make up or break up trains. Watch for
and relay traffic signals. May inspect couplings, air hoses, journal boxes,
and hand brakes. May watch for dragging equipment or obstacles on
rights-of-way."
760,405,53-4031,Railroad Conductors and Yardmasters,"Coordinate activities of switch-engine crew within railroad yard,
industrial plant, or similar location. Conductors coordinate activities of
train crew on passenger or freight trains. Yardmasters review train
schedules and switching orders and coordinate activities of workers engaged
in railroad traffic operations, such as the makeup or breakup of trains and
yard switching."
761,406,53-4041,Subway and Streetcar Operators,"Operate subway or elevated suburban trains with no separate locomotive, or
electric-powered streetcar, to transport passengers. May handle fares."
762,407,53-4099,"Rail Transportation Workers, All Other",All rail transportation workers not listed separately.
763,408,53-5011,Sailors and Marine Oilers,"Stand watch to look for obstructions in path of vessel, measure water
depth, turn wheel on bridge, or use emergency equipment as directed by
captain, mate, or pilot. Break out, rig, overhaul, and store cargo-handling
gear, stationary rigging, and running gear. Perform a variety of
maintenance tasks to preserve the painted surface of the ship and to
maintain line and ship equipment. Must hold government-issued certification
and tankerman certification when working aboard liquid-carrying vessels.
Includes able seamen and ordinary seamen."
764,409,53-5021,"Captains, Mates, and Pilots of Water Vessels","Command or supervise operations of ships and water vessels, such as
tugboats and ferryboats. Required to hold license issued by U.S. Coast
Guard. Excludes ""Motorboat Operators"" (53-5022)."
765,409,53-5022,Motorboat Operators,Operate small motor-driven boats. May assist in navigational activities.
766,410,53-5031,Ship Engineers,"Supervise and coordinate activities of crew engaged in operating and
maintaining engines, boilers, deck machinery, and electrical, sanitary, and
refrigeration equipment aboard ship. Excludes ""Engineers"" (17-2000)."
767,411,53-6011,Bridge and Lock Tenders,"Operate and tend bridges, canal locks, and lighthouses to permit marine
passage on inland waterways, near shores, and at danger points in waterway
passages. May supervise such operations. Includes drawbridge operators,
lock operators, and slip bridge operators."
768,412,53-6021,Parking Attendants,"Park vehicles or issue tickets for customers in a parking lot or garage.
May park or tend vehicles in environments such as a car dealership or
rental car facility. May collect fee."
769,412,53-6031,Automotive and Watercraft Service Attendants,"Service automobiles, buses, trucks, boats, and other automotive or marine
vehicles with fuel, lubricants, and accessories. Collect payment for
services and supplies. May lubricate vehicle, change motor oil, refill
antifreeze, or replace lights or other accessories, such as windshield
wiper blades or fan belts. May repair or replace tires. Excludes ""Cashiers""
(41-2011)."
770,413,53-6041,Traffic Technicians,"Conduct field studies to determine traffic volume, speed, effectiveness of
signals, adequacy of lighting, and other factors influencing traffic
conditions, under direction of traffic engineer."
771,414,53-6051,Transportation Inspectors,"Inspect equipment or goods in connection with the safe transport of cargo
or people. Includes rail transportation inspectors, such as freight
inspectors, rail inspectors, and other inspectors of transportation
vehicles not elsewhere classified. Excludes ""Transportation Security
Screeners"" (33-9093)."
772,415,53-6061,Passenger Attendants,"Provide services to ensure the safety of passengers aboard ships, buses,
trains, or within the station or terminal. Perform duties such as
explaining the use of safety equipment, serving meals or beverages, or
answering questions related to travel. Excludes ""Baggage Porters and
Bellhops"" (39-6011) and ""Flight Attendants"" (53-2031)."
773,415,53-6098,"Aircraft Service Attendants and Transportation Workers, All Other","This occupation includes the 2018 SOC occupations 53-6032 Aircraft Service
Attendants and 53-6099 Transportation Workers, All Other and the 2010 SOC
occupation 53-6099 Transportation Workers, All Other."
774,416,53-7011,Conveyor Operators and Tenders,"Control or tend conveyors or conveyor systems that move materials or
products to and from stockpiles, processing stations, departments, or
vehicles. May control speed and routing of materials or products."
775,417,53-7021,Crane and Tower Operators,"Operate mechanical boom and cable or tower and cable equipment to lift and
move materials, machines, or products in many directions."
776,418,53-7031,Dredge Operators,"Operate dredge to remove sand, gravel, or other materials in order to
excavate and maintain navigable channels in waterways."
777,419,53-7041,Hoist and Winch Operators,"Operate or tend hoists or winches to lift and pull loads using
power-operated cable equipment. Excludes ""Crane and Tower Operators""
(53-7021)."
778,420,53-7051,Industrial Truck and Tractor Operators,"Operate industrial trucks or tractors equipped to move materials around a
warehouse, storage yard, factory, construction site, or similar location.
Excludes ""Logging Equipment Operators"" (45-4022)."
779,421,53-7061,Cleaners of Vehicles and Equipment,"Wash or otherwise clean vehicles, machinery, and other equipment. Use such
materials as water, cleaning agents, brushes, cloths, and hoses. Excludes
""Janitors and Cleaners, Except Maids and Housekeeping Cleaners"" (37-2011)."
780,421,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand","Manually move freight, stock, luggage, or other materials, or perform other
general labor. Includes all manual laborers not elsewhere classified.
Excludes ""Construction Laborers"" (47-2061) and ""Helpers, Construction
Trades"" (47-3011 through 47-3019). Excludes ""Material Moving Workers""
(53-7011 through 53-7199) who use power equipment."
